Purchase an extra sparkly mane clip for your first date,Drunk text your ex,Reply to your bosses email,Send a NSFW email to the entire office ,Make yourself oats for the week,Ignore a parking ticket,Call your grandmother,Pick a fight with your brother
Make an online dating profile ,Stalk an ex-partner on social media,Inspect sparkly sparkles,Minimize hours to not get paid overtime ,Eat an apple,Pick a scab on your hoof ,Take the day off to visit with family,Cancel plans with your friends for the 5th weekend in a row 
Have a first kiss,Cancel a date to stay late at work,Turn in your work on time ,Cover for your coworker ,Take galloping class you've been wanting to,Binge drink an entire bottle of bourbon ,Go to a game night with friends,
Say hi to that cute barista,"Reply to a ""you up?"" message at 3am on a Tuesday",Leave work at 5pm ,Horse around with a co-worker in the copy room ,,Don't pay electrical bill,Reply to your friend's text,Forget to gallop home for Thanksgiving
Start learning how to cook for one ,Conform to your partners needs,Reply to your bosses email during work hours only ,Accept another project ,Cash in your free coffee coupon ,Stay up until 4AM on a weekday,Send you mother a mother's day car,Miss your neice's birthday party
Put your sad energy into a creative hobby ,Share your stable only because its cold in the barn,Reach out to a fellow glitter analyst for help ,Avoid applying for a promotion ,Sign up for a barn membership,Ignore a medical bill,Have dinner with your brother,Forget your best friends birthday 
Send a rejection text instead of ghosting ,Look through old messages from you ex,Take a mental health day ,Zone out in a glitter meeting ,Pick up hay from the grocery store ,Sleep in dirty hay for a month ,Ask your family for help with your student loans,Ignore a text from your mom
Find your main squeeze,Become consumed with your relationship,Speak up during a meeting ,Enter wrong sparkle stats into a public spreadsheet,Get back on the saddle,Eat an entire pint of ice cream ,Go to your sisters dance recital ,Forget to call your mom
Delete old messages and photos ,Obsessively swipe Unicorn Tinder,Categorize all the glitter ,Lose an account because you fell asleep in a meeting ,Get your hooves shined ,Don't change the cat litter for weeks,Babysit your younger cousin,Ignore calls from your best friend
Set boundaries in a new relationship ,Stay in an unhealthy relationship because you're afraid of being alone ,Take a lunch break,Heat smelly oats in the company microwave,Wash your horse blanket ,Binge watch a complete season of My Little Pony,Organize a surprise retirement party for you aunt,Get embarrassingly drunk at brunch
Unfollow them on social media,Make out with a friend's partner,Attend your office happy sparkle hour,Smoke hay in the bathroom,Make lunch for yourself ,Eat an entire bag of funions,Take your friend out to celebrate her promotion,Lose your grandmother's necklace 
Buy another cat,End a relationship to focus on your career ,Finally take your vacation days,Snap at a coworker ,Get a good nights sleep ,Forget to bathe for a week,Cancel plans with your friends to have a night to yourself ,Forget your best friends birthday 
Forgive an ex-partner,Lead someone on because you're lonely ,Get a glitter bonus,Start taking glitter dust to focus,Take a trot around the park ,Stay in bed all weekend ,Have a night out with the UniGurls,Ignore a text from your mom
Be comfortable being alone ,Start a relationship with excessive emotional baggage,Ask for that raise ,Miss work for a week to stay in your stable all day ,Attend a figure drawing class,Snooze your alarm 50 times ,Bake a cake for your friends birthday,Forget to call your mom
Be your sparkliest self ,"Reply to a ""you up?"" message at 3am on a Tuesday",Get that promotion. You go Unigurl! ,Get let go from UniCorp,Splurge on those new horseshoes,Skip doing laundry for the second month in a row,Host a dinner party ,Forget to gallop home for Thanksgiving
